MatchId;Home Tactic;Away Tactic;Home Goals;Away Goals
631157390;Normal;Normal;8;0
631157391;Normal;Normal;3;2
631157392;Normal;Normal;4;2
631157393;Normal;Attack on wings;1;8
631157394;Play creatively;Normal;9;0
631157395;Normal;Normal;0;8
631157396;Normal;Normal;3;2
631157397;Attack on wings;Normal;8;0
631157398;Normal;Normal;6;0
631157399;Normal;Play creatively;0;6
631157400;Normal;Normal;4;0
631157401;Normal;Attack on wings;1;10
631157402;Normal;Normal;5;1
631157403;Normal;Normal;2;7
631157404;Attack on wings;Normal;8;0
631157405;Normal;Normal;6;2
631157406;Attack on wings;Normal;7;0
631157407;Play creatively;Normal;7;0
631157408;Normal;Attack on wings;1;7
631157409;Normal;Attack on wings;0;8
631157410;Normal;Normal;1;8
631157411;Normal;Play creatively;0;8
631157412;Attack on wings;Attack on wings;4;0
631157413;Play creatively;Normal;10;0
631157414;Normal;Normal;5;3
631157415;Normal;Normal;3;0
631157416;Normal;Normal;3;2
631157417;Play creatively;Normal;2;0
631157418;Normal;Play creatively;0;8
631157419;Normal;Normal;0;5
631157420;Attack on wings;Attack on wings;2;4
631157421;Normal;Normal;6;0
631157422;Play creatively;Normal;7;0
631157423;Attack on wings;Normal;10;0
631157424;Attack on wings;Normal;8;0
631157425;Normal;Play creatively;0;7
631157426;Normal;Attack on wings;0;9
631157427;Normal;Normal;1;8
631157428;Normal;Attack on wings;0;7
631157429;Normal;Normal;6;1
631157430;Normal;Normal;2;0
631157431;Attack on wings;Play creatively;2;4
631157432;Attack on wings;Normal;8;0
631157433;Normal;Normal;2;3
631157434;Play creatively;Normal;8;0
631157435;Normal;Attack on wings;0;9
631157436;Normal;Attack on wings;0;9
631157437;Normal;Normal;4;1
631157438;Attack on wings;Normal;8;0
631157439;Normal;Play creatively;0;8
631157440;Attack on wings;Normal;10;1
631157441;Normal;Normal;2;2
631157442;Normal;Normal;6;1
631157443;Normal;Attack on wings;0;6
631157444;Play creatively;Attack on wings;2;4
631157445;Normal;Attack on wings;0;7
631157446;Play creatively;Attack in the Middle;3;0
631157447;Normal;Normal;4;1
631157448;Normal;Normal;4;0
631157449;Attack in the Middle;Normal;8;0
631157450;Attack on wings;Normal;6;2
631157451;Normal;Play creatively;0;7
631157452;Normal;Normal;0;6
631157453;Normal;Normal;1;1
631157454;Play creatively;Normal;8;0
631157455;Attack in the Middle;Attack on wings;1;3
631157456;Normal;Normal;2;5
631157457;Normal;Normal;3;1
631157458;Attack on wings;Play creatively;2;0
631157459;Normal;Normal;8;1
631157460;Normal;Attack in the Middle;0;8
631157461;Normal;Normal;3;0
631157462;Attack in the Middle;Normal;9;0
631157463;Play creatively;Normal;7;0
631157464;Attack on wings;Normal;9;0
631157465;Normal;Normal;1;2
631157466;Normal;Play creatively;1;12
631157467;Normal;Attack in the Middle;0;7
631157468;Normal;Attack on wings;0;9
631157469;Normal;Play creatively;0;8
631157470;Attack on wings;Normal;8;0
631157471;Normal;Normal;4;3
631157472;Attack in the Middle;Normal;9;0
631157473;Normal;Normal;1;0
631157474;Normal;Attack in the Middle;0;8
631157475;Play creatively;Normal;5;0
631157476;Attack on wings;Normal;8;0
631157477;Normal;Attack on wings;0;9
631157478;Attack in the Middle;Normal;8;0
631157479;Play creatively;Normal;9;0
631157480;Normal;Attack on wings;0;8
631157481;Normal;Play creatively;0;12
631157482;Normal;Attack in the Middle;0;6
631157483;Normal;Normal;4;2
631157484;Attack in the Middle;Normal;9;0
631157485;Normal;Normal;2;6
631157486;Play creatively;Attack on wings;4;4
631157487;Normal;Normal;3;2
631157488;Normal;Normal;5;1
631157489;Attack on wings;Attack in the Middle;3;2
631157490;Normal;Play creatively;0;10
631157491;Normal;Normal;0;3
631157492;Normal;Normal;7;2
631157493;Play creatively;Normal;10;0
631157494;Normal;Attack on wings;0;9
631157495;Normal;Normal;0;6
631157496;Normal;Normal;4;2
631157497;Normal;Normal;1;7
631157498;Normal;Play creatively;0;4
631157499;Attack on wings;Normal;8;0
631157500;Normal;Normal;3;2
631157501;Normal;Normal;1;7
631157502;Normal;Normal;10;0
631157503;Normal;Normal;0;2
631157504;Normal;Normal;3;3
631157505;Normal;Normal;2;0
631157506;Normal;Normal;8;0
631157507;Normal;Normal;0;5
631157508;Normal;Normal;0;10
631157509;Normal;Normal;6;0
631157510;Normal;Normal;2;3
631157511;Normal;Normal;3;2
631157512;Normal;Normal;0;4
631157513;Normal;Normal;0;8
631157514;Normal;Normal;3;0
631157515;Normal;Normal;9;0
631157516;Normal;Normal;0;8
631157517;Normal;Normal;9;0
631157518;Normal;Normal;3;1
631157519;Normal;Normal;9;0
631157520;Normal;Normal;9;0
631157521;Normal;Normal;0;1
631157522;Normal;Normal;0;10
631157523;Normal;Normal;0;10
631157524;Normal;Normal;0;7
631157525;Normal;Normal;1;2
631157526;Normal;Normal;3;0
631157527;Normal;Normal;9;0
631157528;Normal;Normal;1;2
631157529;Normal;Normal;2;1
631157530;Normal;Normal;0;7
631157531;Normal;Normal;4;0
631157532;Normal;Normal;2;2
631157533;Normal;Normal;10;0
631157534;Normal;Normal;7;0
631157535;Normal;Normal;8;0
631157536;Normal;Normal;4;0
631157537;Normal;Normal;1;7
631157538;Normal;Normal;0;8
631157539;Normal;Normal;2;4
631157540;Normal;Normal;0;9
631157541;Normal;Normal;9;0
631157542;Normal;Normal;0;9
631157543;Normal;Normal;3;1
631157544;Normal;Normal;8;0
631157545;Normal;Normal;3;0
